"STATION_CODE","STATION_NAME","LATIN_NAME","SAMPLE_DATE","TISSUE_NAME","SAMPLE_NO","REPNO","NAME","VALUE","FLAG1","FLAG2","UNIT","DETECTION_LIMIT","UNCERTAINTY","QUANTIFICATION_LIMIT","APPROVED","REMARK_sample","REMARK_chem","STATION_ID","SAMPLE_ID","METHOD_ID","VALUE_ID","TISSUE_ID","TAXONOMY_CODE_ID","MYEAR"
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Nikkel",0.089,NA,NA,"MG_P_KG",NA,40,0.04,1,NA,NA,67476,246962,35558,2018008,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Pyren",4.4,NA,NA,"UG_P_KG",NA,60,0.5,1,NA,NA,67476,246962,36364,2018004,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Benzo[a]antracen",0.79,NA,NA,"UG_P_KG",NA,60,0.5,1,NA,NA,67476,246962,36367,2018010,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Naftalen",0.95,NA,NA,"UG_P_KG",NA,70,0.5,1,NA,NA,67476,246962,36370,2018013,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Benzo[a]pyren",0.315,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36360,2014230,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Indeno[1,2,3-cd]pyren",0.315,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36363,2014233,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Tetrabutyltinn (TetraBT)",0.81,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36521,2014240,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Dibutyltinn-Sn (DBT-Sn)",0.41,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36612,2014215,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Trifenyltinn (TPhT)",0.81,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36520,2014213,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Trisykloheksyltinn (TCHT)",1.6,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36514,2014214,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Benzo[g,h,i]perylen",0.315,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36361,2014231,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Nikkel",0.2,NA,NA,"MG_P_KG",NA,0,NA,1,NA,NA,67476,246669,35655,2014246,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Benzo[a]antracen",0.315,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36367,2014205,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Acenaftylen",0.315,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36358,2014228,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Dioktyltinn (DOT)",0.81,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36519,2014212,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Sum 16 EPA-PAH ekskl. LOQ",1.39,NA,NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,31234,2014224,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Monooktyltinn (MOT)",0.81,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36518,2014211,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Sum 16 EPA-PAH inkl. LOQ",68.8,NA,NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,31233,2014225,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Fettinnhold",1.35,NA,NA,"PERCENT",NA,0,NA,1,NA,NA,67476,246669,33351,2014223,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Krom",0.08,NA,NA,"MG_P_KG",NA,0,NA,1,NA,NA,67476,246669,35671,2014245,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Monooktyltinn (MOT)-Sn",0.41,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36615,2014218,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Monobutyltinn (MBT)-Sn",0.55,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36614,2014217,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Arsen",2.2,NA,NA,"MG_P_KG",NA,0,NA,1,NA,NA,67476,246669,35669,2014241,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Kadmium",0.15,NA,NA,"MG_P_KG",NA,0,NA,1,NA,NA,67476,246669,35667,2014243,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Fenantren",5,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36371,2014234,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Pyren",0.8,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36364,2014235,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Dibutyltinn (DBT)",0.81,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36516,2014209,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Fluoranten",1.1,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36365,2014236,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Sink",16,NA,NA,"MG_P_KG",NA,0,NA,1,NA,NA,67476,246669,35656,2014247,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Kobber",0.9,NA,NA,"MG_P_KG",NA,0,NA,1,NA,NA,67476,246669,35668,2014244,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Benzo[b,j]fluoranten",0.85,NA,NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36366,2014238,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Dioktyltinn-Sn (DOT-Sn)",0.28,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36613,2014216,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Tributyltinn (TBT)-Sn",0.41,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36617,2014220,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Acenaften",4,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36357,2014227,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Monobutyltinn (MBT)",0.81,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36515,2014239,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Krysen",0.545,NA,NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36688,2014237,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Kvikksølv",0.005,"<",NA,"MG_P_KG",NA,NA,NA,1,NA,NA,67476,246669,33676,2014226,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Antracen",0.315,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36359,2014229,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Trisykloheksyltinn (TCHT)-Sn",0.52,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36619,2014222,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Benzo[k]fluoranten",0.315,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36368,2014206,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Fluoren",4,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67476,246669,36362,2014232,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Bly",0.14,NA,NA,"MG_P_KG",NA,0,NA,1,NA,NA,67476,246669,35670,2014242,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Tetrabutyltinn (TTBT)-Sn",0.28,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36616,2014219,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Trifenyltinn (TPhT)-Sn",0.27,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36618,2014221,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Tributyltinn (TBT)",1,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67476,246669,36517,2014210,7,8859,2021
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Trisykloheksyltinn (TCHT)",0.3,"<",NA,"UG_P_KG",NA,NA,0.3,1,NA,NA,67476,246962,36344,2018027,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Sink",18,NA,NA,"MG_P_KG",NA,25,0.5,1,NA,NA,67476,246962,35559,2018009,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Antracen",0.5,"<",NA,"UG_P_KG",NA,70,0.5,1,NA,NA,67476,246962,36359,2017999,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Monobutyltinn (MBT)",0.3,"<",NA,"UG_P_KG",NA,NA,0.3,1,NA,NA,67476,246962,35672,2018007,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Dioktyltinn (DOT)",0.4,"<",NA,"UG_P_KG",NA,NA,0.4,1,NA,NA,67476,246962,36342,2018025,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Tørrstoff %",18,NA,NA,"PERCENT",NA,12,0.02,1,NA,NA,67476,246962,36352,2018028,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Dibutyltinn (DBT)",0.3,"<",NA,"UG_P_KG",NA,NA,0.3,1,NA,NA,67476,246962,36339,2018022,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Acenaftylen",0.5,"<",NA,"UG_P_KG",NA,70,0.5,1,NA,NA,67476,246962,36358,2017998,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Fluoranten",8.6,NA,NA,"UG_P_KG",NA,60,0.5,1,NA,NA,67476,246962,36365,2018005,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Arsen",3.2,NA,NA,"MG_P_KG",NA,30,0.05,1,NA,NA,67476,246962,35555,2018015,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Trifenyltinn (TPhT)",1.5,NA,NA,"UG_P_KG",NA,NA,0.3,1,NA,NA,67476,246962,36343,2018026,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Fettinnhold",2.3,NA,NA,"PERCENT",NA,20,0.1,1,NA,NA,67476,246962,35491,2018029,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Benzo[g,h,i]perylen",0.61,NA,NA,"UG_P_KG",NA,70,0.5,1,NA,NA,67476,246962,36361,2018001,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Dibenzo[a,h]antracen",0.5,"<",NA,"UG_P_KG",NA,60,0.5,1,NA,NA,67476,246962,36369,2018012,7,8859,2016
"BL1","Stanghlm","Mytilus edulis",2016-03-16,"Whole soft body",1,1,"Krysen+Trifenylen",3.2,NA,NA,"UG_P_KG",NA,60,0.5,1,NA,NA,67476,246962,36372,2018020,7,8859,2016
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Dibenzo[a,h]antracen",0.0937,"<",NA,"NG_P_G",NA,NA,NA,1,NA,NA,67477,242174,36480,1875449,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Krom",0.12,NA,NA,"MG_P_KG",NA,50,0.03,1,NA,NA,67477,242174,35671,1875456,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Antracen",0.28,"<",NA,"NG_P_G",NA,NA,NA,1,NA,NA,67477,242174,36469,1875462,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Benzo[k]fluoranten",0.234,NA,NA,"NG_P_G",NA,NA,NA,1,NA,NA,67477,242174,36479,1875455,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Sum 16 EPA-PAH ekskl. LOQ",5.41,NA,NA,"NG_P_G",NA,NA,NA,1,NA,NA,67477,242174,31012,1875428,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Trisykloheksyltinn (TCHT)",1.6,"<",NA,"NG_P_G",NA,NA,10,1,NA,NA,67477,242174,36514,1875469,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Sum 6 DIN-PCB inkl. LOQ",1.94,NA,NA,"NG_P_G",NA,NA,1.2,1,NA,NA,67477,242174,36568,1875476,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Fluoranten",0.966,NA,NA,"NG_P_G",NA,NA,NA,1,NA,NA,67477,242174,36475,1875470,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Nikkel",0.2,NA,NA,"MG_P_KG",NA,40,0.04,1,NA,NA,67477,242174,35655,1875467,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Bly",0.29,NA,NA,"MG_P_KG",NA,40,0.03,1,NA,NA,67477,242174,35670,1875485,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"WHO(2005)-PCB TEQ eksl. LOQ",0.0059,NA,NA,"PG_P_G",NA,NA,NA,1,NA,NA,67477,242174,36565,1875475,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Sink",22,NA,NA,"MG_P_KG",NA,25,0.5,1,NA,NA,67477,242174,35656,1875459,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Dibutyltinn (DBT)",3,NA,NA,"NG_P_G",NA,NA,5,1,NA,NA,67477,242174,36516,1875431,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"PCB 81",0.874,"<",NA,"PG_P_G",NA,NA,0.54,1,NA,NA,67477,242174,36558,1875478,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Tributyltinn (TBT)",8.3,NA,NA,"NG_P_G",NA,NA,5,1,NA,NA,67477,242174,36517,1875424,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"PCB 52",0.324,"<",NA,"NG_P_G",NA,NA,0.2,1,NA,NA,67477,242174,36553,1875460,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"PCB 157",2.42,NA,NA,"PG_P_G",NA,0,0.82,1,NA,NA,67477,242174,36562,1875427,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Krysen",0.755,NA,NA,"NG_P_G",NA,NA,NA,1,NA,NA,67477,242174,36476,1875458,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Fenantren",3.01,"<",NA,"NG_P_G",NA,NA,NA,1,NA,NA,67477,242174,36466,1875483,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Monobutyltinn (MBT)-Sn",0.89,NA,NA,"NG_P_G",NA,NA,NA,1,NA,NA,67477,242174,36614,1875434,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Kvikksølv",0.012,NA,NA,"MG_P_KG",NA,30,0.005,1,NA,NA,67477,242174,35532,1875484,7,8859,2018
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Sum 16 EPA-PAH ekskl. LOQ",3.86,NA,NA,"UG_P_KG",NA,0,NA,1,NA,NA,67477,246670,31234,2014272,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Dibutyltinn (DBT)",3.4,NA,NA,"NG_P_G",NA,0,NA,1,NA,NA,67477,246670,36516,2014257,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Dioktyltinn-Sn (DOT-Sn)",0.26,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67477,246670,36613,2014264,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Benzo[k]fluoranten",0.373,NA,NA,"UG_P_KG",NA,0,NA,1,NA,NA,67477,246670,36368,2014254,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Tributyltinn (TBT)-Sn",5.3,NA,NA,"NG_P_G",NA,0,NA,1,NA,NA,67477,246670,36617,2014268,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Antracen",0.4,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67477,246670,36359,2014277,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Tetrabutyltinn (TetraBT)",0.77,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67477,246670,36521,2014288,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Dioktyltinn (DOT)",0.77,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67477,246670,36519,2014260,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Fluoren",4,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67477,246670,36362,2014280,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Benzo[g,h,i]perylen",0.46,NA,NA,"UG_P_KG",NA,0,NA,1,NA,NA,67477,246670,36361,2014279,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Kadmium",0.11,NA,NA,"MG_P_KG",NA,0,NA,1,NA,NA,67477,246670,35667,2014248,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Nikkel",0.1,NA,NA,"MG_P_KG",NA,0,NA,1,NA,NA,67477,246670,35655,2014251,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Monobutyltinn (MBT)",0.98,NA,NA,"NG_P_G",NA,0,NA,1,NA,NA,67477,246670,36515,2014287,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Kvikksølv",0.006,NA,NA,"MG_P_KG",NA,NA,NA,1,NA,NA,67477,246670,33676,2014274,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Dibutyltinn-Sn (DBT-Sn)",1.7,NA,NA,"NG_P_G",NA,0,NA,1,NA,NA,67477,246670,36612,2014263,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Benzo[b,j]fluoranten",1.16,NA,NA,"UG_P_KG",NA,0,NA,1,NA,NA,67477,246670,36366,2014286,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Naftalen",50,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67477,246670,36370,2014256,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Monooktyltinn (MOT)-Sn",0.39,"<",NA,"NG_P_G",NA,0,NA,1,NA,NA,67477,246670,36615,2014266,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Monobutyltinn (MBT)-Sn",0.66,NA,NA,"NG_P_G",NA,0,NA,1,NA,NA,67477,246670,36614,2014265,7,8859,2021
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Benzo[a]antracen",0.414,NA,NA,"NG_P_G",NA,NA,NA,1,NA,NA,67477,242174,36478,1875433,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"PCB 114",2.45,NA,NA,"PG_P_G",NA,0,1.1,1,NA,NA,67477,242174,35641,1875426,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"PCB 101",0.324,"<",NA,"NG_P_G",NA,NA,0.2,1,NA,NA,67477,242174,36554,1875441,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"PCB 180",0.324,"<",NA,"NG_P_G",NA,NA,0.2,1,NA,NA,67477,242174,36557,1875479,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"PCB 28",0.324,"<",NA,"NG_P_G",NA,NA,0.2,1,NA,NA,67477,242174,36552,1875446,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"Dioktyltinn-Sn (DOT-Sn)",0.27,"<",NA,"NG_P_G",NA,NA,NA,1,NA,NA,67477,242174,36613,1875447,7,8859,2018
"BL3","Biodden","Mytilus edulis",2018-09-10,"Whole soft body",1,1,"PCB 153",0.324,"<",NA,"NG_P_G",NA,NA,0.2,1,NA,NA,67477,242174,36556,1875430,7,8859,2018
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Fettinnhold",1.02,NA,NA,"PERCENT",NA,0,NA,1,NA,NA,67477,246670,33351,2014271,7,8859,2021
"BL3","Biodden","Mytilus edulis",2021-09-01,"Whole soft body",1,1,"Fenantren",3.87,"<",NA,"UG_P_KG",NA,0,NA,1,NA,NA,67477,246670,36371,2014282,7,8859,2021
